Título,Autor,Año,Grado
Regeneración ósea mandibular con constructos elaborados mediante ingeniería de tejidos,"Aguilar Trujillo, Mario Alberto",2020,Licenciatura en Cirujano Dentista
Premedicación con dexmedetomidina intranasal como ansiolítico en pacientes toxicómanos manejados con anestesia regional en Hospital General Xoco,"Aguilar Velázquez, Gabriela",2020,Especialidad en Medicina (Anestesiología)
El clúster como herramienta de manejo de residuos sólidos urbanos y su potencial para el desarrollo regional,"Aguilar Vera, Rodrigo Antonio",2020,Doctorado en Geografía
Terapia dirigida para el tratamiento del ameloblastoma : revisión de la literatura,"Aguilar Vera, Sandy Jocellyn",2020,Licenciatura en Cirujano Dentista
Caracterización del crecimiento y del procesamiento de la proteína de la cápside del astrovirus neurotrópico VA1,"Aguilera Flores, Catalina Ignacia",2020,Licenciatura en Biología
Fracturas mandibulares asociadas a la extracción de terceros molares,"Aguilera Garcia, Clarisa",2020,Licenciatura en Cirujano Dentista
Propuesta de un programa preventivo para lumbalgia mecanopostural en alumnos de tercer año de la licenciatura en fisioterapia de la ENES Unidad León,"Aguilera Juárez, Francisco de Jesús",2020,Licenciatura en Fisioterapia
"Pensar al sujeto de la anormalidad, la otredad","Aguilera Magos, Selene Suleima",2020,Licenciatura en Pedagogía
Actividad antimicrobiana de Turnera diffusa Willd. Ex Schult (TURNERACEAE),"Aguilera Ramírez, Christian Uriel",2020,Licenciatura en Biología
Cultivando una amistad filosófica en el programa de Servicio Social UNAM-Peraj Adopta un amig@,"Aguilera Roa, Mariana",2020,Licenciatura en Filosofía
Relaciones filogenéticas del clado Norte-Centroamericano de Triatomini (Hemiptera: Reduviidae: Triatominae) basadas en el genoma mitocondrial,"Aguilera Uribe, Magali",2020,Licenciatura en Biología
Musicoterapia como reforzamiento para el manejo del paciente pediátrico de 4 a 10 años de edad en la CUAS Reforma 2019,"Aguillen García, Silvia",2020,Licenciatura en Cirujano Dentista
Las estrategias de enseñanza-aprendizaje como alternativa para estimular el desarrollo cognitivo en los alumnos con síndrome de Williams,"Aguillón de la Rosa, Evelin Damariz",2020,Licenciatura en Pedagogía
"Análisis y revisión de la Iglesia de San Juan Pilcaya, Puebla, después del sismo del 19 de septiembre de 2017","Aguirre Arellano, Cristopher",2020,Especialidad en Estructuras
Ciudadanía en construcción : prácticas con sentido,"Aguirre Bahena, Anhely Eunice",2020,Licenciatura en Ciencias de la Comunicación (Periodismo)
El lenguaje en Heráclito y Parménides : entre cognición y revelación de la realidad,"Aguirre de la Luz, Nazyheli",2020,Doctorado en Letras Clásicas
Análisis de anomalías del tensor magnético,"Aguirre Díaz, Juan Pablo",2020,Maestría en Ciencias de la Tierra
Disolventes eutécticos a base de trioctilamina para extracción de metales,"Aguirre Domínguez, Rocío",2020,Licenciatura en Ingeniería Química
"Supervivencia libre de progresión en pacientes con melanoma metastásico al diagnóstico o con recurrencia, tratados con terapia sistémica de primera línea en el Hospital de Oncología del Centro Médico Nacional Siglo XXI","Aguirre Gómez, Jaqueline",2020,Especialidad en Medicina (Oncología Médica)
