Título,Autor,Año,Grado
"""Hallazgos endoscópicosdela vía aérea en recién nacidos con ventilación mecánica prolongadadela UMAE HospitaldePediatría CMNO""","Alonso Ramírez, Inés Stefanie",2021,Especialidad en Medicina (Neumología Pediátrica)
Relación médico-paciente y su asociación con la adherencia terapéutica en pacientes con diabetes mellitus tipo 2de20 a 79 años,"Alonso Ocampo, Karina",2021,Especialidad en Medicina (Medicina Familiar)
"Modelos progresivosdevivienda :metodología participativadeanálisis y diseño en Zona Metropolitana del ValledeMéxico, caso específico en Gustavo A. Madero, CiudaddeMéxico","Alonso Pérez, Maryandrea",2021,Licenciatura en Arquitectura
La caminata como dislocación en tres obras del artista Francis Alÿs :una mirada desde la psicología colectiva,"Alonso León, Erik Alejandro",2021,Licenciatura en Psicología
Gestión y optimización del bombeo mecánico implementando unidadesdebombeo hidroneumáticasdecarrera larga en pozos productoresdeaceite con aplicacióndecampos en la región surdeMéxico,"Alonso Morales, Carlos Alfredo",2021,Licenciatura en Ingeniería Petrolera
Determinación funcional en pacientes con lesión del mango rotador postoperadosdeplastiademango rotador con anclas vs sutura mediante la escala para evaluar la funcióndehombrodela UCLA (University of California at Los Angeles shoulder assessment) en el Hospital Central NortedePemex en el periododemarzo 2018-marzo2021,"Alor Jiménez, Víctor Manuel",2021,Especialidad en Medicina (Ortopedia)
"Caracterización litoestratigráficadela Caliza Chimeco y la formación Mapache en el Cerro Boludo, municipiodeChiladelas Flores, Puebla","Altamirano Cabello, Alex",2021,Licenciatura en Ingeniería Geológica
Inmunoexpresióndecélulas T gamma-delta (γδ) e interleucina 17 (IL-17) en mucosa oral sana,"Alquicira Rodríguez, Saide",2021,Licenciatura en Cirujano Dentista
Impacto del farmacéutico clínico en la disminucióndeerroresdemedicación en el serviciodeterapia intensiva en un hospital privadodela CiudaddeMéxico,"Aloyo Ramírez, Diana Joselyn",2021,Licenciatura en Química Farmacéutico Biológica
Decirlo todo :la ideadela escritura en ladeconstrucción Derridiana,"Alquicira Zariñán, Gerardo",2021,Licenciatura en Filosofía
Análisis térmico y estructuraldela aleación binaria Ni58.5-Nb41.5,"Alquicira Reyes, Alejandra",2021,Licenciatura en Ingeniería Química Metalúrgica
"Cambios macroscópicos, microscópicos y bioquímicos en la administracióndesolución salina al 0.9% ozonizada en colgajos cutáneosdepatrón aleatorio en ratas","Altamirano Arcos, Carlos Alberto",2021,Especialidad en Medicina (Cirugía Plástica y Reconstructiva)
Diseño y evaluacióndeexperimentosderetroalimentacióndefuerza utilizando un robotdeseis gradosdelibertad,"Alonso Torres, Brayan Eduardo",2021,Licenciatura en Ingeniería Eléctrica Electrónica
Estrategiadediseño gráfico emocional para el CentrodeAdopcióndePlantas Mexicanas en PeligrodeExtinción del Jardín Botánico IB-UNAM,"Altamirano Aguilar, Brenda Vianey",2021,Licenciatura en Diseño y Comunicación Visual
Estudio del ruidodefondodeneutrones radiogénicos en DEAP-3600,"Alpízar Venegas, Mario Andrés",2021,Maestría en Ciencias (Física)
El papel del cuartetodesaxofones en la formación académicadejóvenes músicos,"Alva González, Omar Alejandro",2021,Licenciatura en Instrumentista
Comparación entre neoplasias benignas y malignas mandibulares a travésdela tomografía computarizada Cone Beam,"Alvadela Cruz, Guadalupe",2021,Licenciatura en Cirujano Dentista
Satisfacción laboral y cuidado perdidodeenfermería,"Alva López, Víctor Emmanuel",2021,Licenciatura en Enfermería
Expresión y análisis funcionaldereceptoresdefactores nod en arroz,"Altuzar Molina, Alma Rosa",2021,Doctorado en Ciencias Bioquímicas
Panorama actualdela tecnología sustentable en la industriadepinturas y recubrimientos para metales en México,"Altamirano Geminiano, Evelyn Janet",2021,Licenciatura en Ingeniería Química
"Actualidadesdela utilidaddela biopsiadeglándula salival menor en el diagnóstico, pronóstico y seguimiento del tratamiento, en pacientes con síndromedeSjôgren","Altamirano Molina, Efrén",2021,Especialidad en Medicina (Reumatología)
Prevalenciadenefropatía por IgA en pacientes pediatricos mexicanos en un HospitaldeTercer Nivel :un estudio retrospectivo del 2009-2019,"Altamirano Montealvo, Diana Cecilia",2021,Especialidad en Medicina (Pediatría)
Atribucióndela influencia antropogénica en la tendenciadela temperatura en México en el periodo 1910 a 2005,"Altamirano del Carmen, Miguel Ángel",2021,Doctorado en Cienciasdela Tierra
El impacto e importanciadelas medidas higiénico dietéticas como manejo conservador en la disminucióndelas infeccionesdevías urinarias recurrentes en la población del Hospital PediátricodeIztacalco en el año 2019,"Altamirano Cobix, Rene Jair",2021,Especialidad en Medicina (Pediatría)
Supervivencia despuésderecaída medular en niños con leucemia aguda linfoblástica experiencia del serviciodehematología Instituto NacionaldePediatría,"Altamirano Lazarte, Fabiola",2021,Especialidad en Medicina (Hematología Pediátrica)
"El Centro SCOP utilidad que genera identidad, 1938-2017","Alvarado Carrasco, Francisco Esteban",2021,Licenciatura en Historia
Funcionamiento y futuro en el áreadeun almacén o centrodedistribución,"Alvarado Beltrán, Enrique",2021,Licenciatura en Administración
Análisis epidemiológicodelas lesiones neoplásicos primarias y metastásicas en columna vertebral,"Alvarado Alcántara, Silvia Alejandra",2021,Especialidad en Medicina (Ortopedia)
Usodela simulación en el aprendizajedela broncoscopía pediátrica,"Alvarado Amador, IrlandadeJesús",2021,Especialidad en Medicina (Neumología Pediátrica)
"Estudio comparativo sobre los procedimientosdecontratación en materiadeadquisiciones, arrendamientos y servicios en general y obras públicas y servicios relacionados con las mismas","Alvarado Guzmán, Juan José",2021,Licenciatura en Derecho
Las funcionesdelas y los trabajadores sociales en el procesodereinserción social con adolescentesdecentrosdeatención a las adicciones,"Alvarado Hernández, Janet",2021,Licenciatura en Trabajo Social
Expresión heteróloga y modelodeestructura terciariadeun péptido presente en el venenodela araña Oculicosa supermirabilis con efecto insecticida y sobre el canal iónico Kv1.5 (KCNA5),"Alvarado Jimenez, Diana",2021,Maestría en Ciencias Bioquímicas
Gradodeapoyo sociofamiliardelos pacientes con hipertensión arterial sistémica descontroladadela UMF 94,"Alvarado Correa, Paula Andrea",2021,Especialidad en Medicina (Medicina Familiar)
Pedagogía en el deporte :acercamiento y proyección del campo en la UNAM,"Alvarado Alquicira, Claudia Yasmín",2021,Maestría en Pedagogía
Aplicacióndela proteómica y metabolómica en el área farmacéutica: desarrollo farmacéutico y terapias farmacológicas,"Alva Morales, Silvia Daniela",2021,Licenciatura en Farmacia
"Preservacióndela función eréctil en hombres mayoresde35 años con cistectomía radical del HospitaldeEspecialidades ""Antonio Fraga Mouret"" ""La Raza""","Alvarado Martínez, Irving Uriel",2021,Especialidad en Medicina (Urología)
"Intervencióndeenfermería en la calidaddevidadeun paciente con insuficiencia renal crónica, en la visión del doctor Juan Alfredo Tamayo y Orozco","Alvarado Macías, María Alondra",2021,Licenciatura en Enfermería y Obstetricia
Relación entre la dimensión mesio-distal y vestíbulo-lingual con el númerodecorona metálica indicada para la restauracióndemolares primarios,"Alvarado Padilla, Aimée Giovanna",2021,Licenciatura en Odontología
El Partido Acción Nacional en el sexenio 2006-2012 :un análisisdelas facciones y fracciones internas,"Alvarado Morales, Juan Antonio",2021,Licenciatura en Ciencias Políticas y Administración Pública
Análisis social y jurídicodela desaparición forzada en América Latina y México :una propuesta para el tratamiento normativo nacional,"Alvarado Martínez, Francisco Javier",2021,Maestría en Derecho
Frecuenciadedepresión en pacientes con diabetes mellitus tpo 2 adscritos a la clínica regional Santiago Tianguistenco ISSEMYM,"Alvarado Montes, Bertha Haydée",2021,Especialidad en Medicina (Medicina Familiar)
Expresión del miRNA 372-5p y el miRNA 21-3p en membranas fetales humanas estimuladas por Escherichia Coli,"Alvarado Ortigoza, Sandra Lizeth",2021,Licenciatura en Biología
La metformina revierte la transicióndeepitelio-mesénquima inducida por IL-6 en célulasdecáncerdemama,"Alvarado Muñoz, Juan Francisco",2021,Especialidad en Medicina (Oncología Médica)
Ignorancia pública en la Alemania Nazi :el caso del estudiodelas enfermedades mentales,"Alvarado Morales, Sofía",2021,Maestría en Filosofíadela Ciencia
Análisis del patróndeinterferenciadela electromiografía con aguja en lesión traumáticadenervio periférico,"Alvarado Lara, Mario René",2021,Especialidad en Medicina (MedicinadeRehabilitación)
"Comparación del diagnóstico situacionaldela operación cesárea en un períodode10 años en la UMAE HospitaldeGineco Obstetricia no. 4 ""Luis Castelazo Ayala""","Alvarado Quiroz, Elba Berenice",2021,Especialidad en Medicina (Ginecología y Obstetricia)
Determinacióndeparámetros energéticos y eléctricosdecompuestos orgánicos con potenciales aplicaciones en celdas solares orgánicas,"Alvarado Ramos, Jesús Guillermo",2021,Maestría en Ciencias Químicas
